team_name,manager,seasons,wins,losses,ties,pf,pa,titles,games,win_pct
Btch McFcky Pants,johnny,1,4,10,1,1081.0,1230.0,0,15,30.0
Desperados,z,2,8,20,1,1882.0,2274.0,0,29,29.31
the_isotopes,vern,1,4,10,0,1002.0,1139.0,0,14,28.57
Yellow Fever,ott,1,4,10,0,966.0,1179.0,0,14,28.57
Future Kings of Odds,--hidden--,1,3,10,0,1150.88,1364.94,0,13,23.08
ButtLordsOfCamillus,Ian Lane,1,3,10,0,1135.42,1442.82,0,13,23.08
The Regressing IdiOTTs.,five1three,1,3,11,0,1519.9,1718.5,0,14,21.43
#1Stunners,ott,1,3,11,0,954.0,1202.0,0,14,21.43
I'veGotPO,--hidden--,1,2,11,0,1179.4,1419.9,0,13,15.38
Peter Gunz,peterO,1,2,11,0,1033.66,1431.36,0,13,15.38
SBU,matty,1,1,13,1,858.0,1341.0,0,15,10.0
KAAAAEEEDDINNGGGGGGG,hags,1,0,13,0,910.48,1362.84,0,13,0.0
Luck Is Mine,--hidden--,1,0,13,0,833.96,1293.64,0,13,0.0
