season,week,team_key,team_name,opp_key,opp_name,pts_for,pts_against
2004,7,101.l.442122.t.8,Drinkin' in the Yard,101.l.442122.t.1,Hags of Hagglestick,121.0,111.0
2004,7,101.l.442122.t.6,Goat,101.l.442122.t.3,The Connivers,71.0,58.0
2004,7,101.l.442122.t.7,Grunting Grundles,101.l.442122.t.2,Btch McFcky Pants,114.0,81.0
2004,7,101.l.442122.t.1,Hags of Hagglestick,101.l.442122.t.8,Drinkin' in the Yard,111.0,121.0
2004,7,101.l.442122.t.9,Los_ticos,101.l.442122.t.10,SBU,100.0,42.0
2004,7,101.l.442122.t.5,Rancid Douche Cunts,101.l.442122.t.4,TKOSpikes,42.0,69.0
2004,7,101.l.442122.t.10,SBU,101.l.442122.t.9,Los_ticos,42.0,100.0
2004,7,101.l.442122.t.4,TKOSpikes,101.l.442122.t.5,Rancid Douche Cunts,69.0,42.0
2004,7,101.l.442122.t.3,The Connivers,101.l.442122.t.6,Goat,58.0,71.0
2004,8,101.l.442122.t.2,Btch McFcky Pants,101.l.442122.t.8,Drinkin' in the Yard,35.0,91.0
2004,8,101.l.442122.t.8,Drinkin' in the Yard,101.l.442122.t.2,Btch McFcky Pants,91.0,35.0
2004,8,101.l.442122.t.6,Goat,101.l.442122.t.4,TKOSpikes,75.0,79.0
2004,8,101.l.442122.t.7,Grunting Grundles,101.l.442122.t.3,The Connivers,100.0,116.0
2004,8,101.l.442122.t.1,Hags of Hagglestick,101.l.442122.t.9,Los_ticos,61.0,154.0
2004,8,101.l.442122.t.9,Los_ticos,101.l.442122.t.1,Hags of Hagglestick,154.0,61.0
2004,8,101.l.442122.t.5,Rancid Douche Cunts,101.l.442122.t.10,SBU,74.0,100.0
2004,8,101.l.442122.t.10,SBU,101.l.442122.t.5,Rancid Douche Cunts,100.0,74.0
2004,8,101.l.442122.t.4,TKOSpikes,101.l.442122.t.6,Goat,79.0,75.0
2004,8,101.l.442122.t.3,The Connivers,101.l.442122.t.7,Grunting Grundles,116.0,100.0
2004,9,101.l.442122.t.2,Btch McFcky Pants,101.l.442122.t.9,Los_ticos,34.0,117.0
2004,9,101.l.442122.t.8,Drinkin' in the Yard,101.l.442122.t.3,The Connivers,90.0,106.0
2004,9,101.l.442122.t.6,Goat,101.l.442122.t.5,Rancid Douche Cunts,73.0,43.0
2004,9,101.l.442122.t.7,Grunting Grundles,101.l.442122.t.4,TKOSpikes,65.0,75.0
2004,9,101.l.442122.t.1,Hags of Hagglestick,101.l.442122.t.10,SBU,106.0,43.0
2004,9,101.l.442122.t.9,Los_ticos,101.l.442122.t.2,Btch McFcky Pants,117.0,34.0
2004,9,101.l.442122.t.5,Rancid Douche Cunts,101.l.442122.t.6,Goat,43.0,73.0
2004,9,101.l.442122.t.10,SBU,101.l.442122.t.1,Hags of Hagglestick,43.0,106.0
2004,9,101.l.442122.t.4,TKOSpikes,101.l.442122.t.7,Grunting Grundles,75.0,65.0
2004,9,101.l.442122.t.3,The Connivers,101.l.442122.t.8,Drinkin' in the Yard,106.0,90.0
2004,10,101.l.442122.t.2,Btch McFcky Pants,101.l.442122.t.1,Hags of Hagglestick,62.0,63.0
2004,10,101.l.442122.t.8,Drinkin' in the Yard,101.l.442122.t.4,TKOSpikes,100.0,102.0
2004,10,101.l.442122.t.6,Goat,101.l.442122.t.10,SBU,92.0,43.0
2004,10,101.l.442122.t.7,Grunting Grundles,101.l.442122.t.5,Rancid Douche Cunts,127.0,95.0
2004,10,101.l.442122.t.1,Hags of Hagglestick,101.l.442122.t.2,Btch McFcky Pants,63.0,62.0
2004,10,101.l.442122.t.9,Los_ticos,101.l.442122.t.3,The Connivers,82.0,115.0
2004,10,101.l.442122.t.5,Rancid Douche Cunts,101.l.442122.t.7,Grunting Grundles,95.0,127.0
2004,10,101.l.442122.t.10,SBU,101.l.442122.t.6,Goat,43.0,92.0
2004,10,101.l.442122.t.4,TKOSpikes,101.l.442122.t.8,Drinkin' in the Yard,102.0,100.0
2004,10,101.l.442122.t.3,The Connivers,101.l.442122.t.9,Los_ticos,115.0,82.0
2004,11,101.l.442122.t.2,Btch McFcky Pants,101.l.442122.t.10,SBU,98.0,59.0
2004,11,101.l.442122.t.8,Drinkin' in the Yard,101.l.442122.t.5,Rancid Douche Cunts,95.0,28.0
2004,11,101.l.442122.t.6,Goat,101.l.442122.t.7,Grunting Grundles,98.0,89.0
2004,11,101.l.442122.t.7,Grunting Grundles,101.l.442122.t.6,Goat,89.0,98.0
2004,11,101.l.442122.t.1,Hags of Hagglestick,101.l.442122.t.3,The Connivers,41.0,92.0
2004,11,101.l.442122.t.9,Los_ticos,101.l.442122.t.4,TKOSpikes,92.0,73.0
2004,11,101.l.442122.t.5,Rancid Douche Cunts,101.l.442122.t.8,Drinkin' in the Yard,28.0,95.0
2004,11,101.l.442122.t.10,SBU,101.l.442122.t.2,Btch McFcky Pants,59.0,98.0
